"Timestamp","Which year are you?","Have you lived on campus before or currently?","Which college dorms/apartments have you lived in?","Have you done your laundry on-campus before?","How many times a month do you do laundry on campus?","How satisfied are you with your laundry experience at UCSD?","Have you encountered any issues while doing laundry on campus?","Do you have any other comments/concerns? (systemwise)"
"2017/05/18 5:33:55 PM CDT","Junior","Yes","Warren","Yes","1","5","Sometimes the minutes are off for washer and dryer times.",""
"2017/05/20 4:03:15 PM CDT","Freshman","No","Sixth","Yes","2","8","",""
"2017/05/20 4:03:33 PM CDT","Freshman","No","Sixth","Yes","2","6","The dryer was not working ",""
"2017/05/20 4:03:39 PM CDT","Freshman","No","Sixth","Yes","4","4","some machines are not working and no one is fixing them",""
"2017/05/20 4:04:39 PM CDT","Freshman","Yes","Sixth","Yes","2","4","some machines don't work, like they don't dry at all but they don't have broken signs
some machines are dirty and gross when i try to use them","its expensive"
"2017/05/20 4:06:44 PM CDT","Freshman","Yes","Sixth","Yes","1","3","Washer machines would always be full of people will leave their clothes in a machine ",""
"2017/05/20 7:26:32 PM CDT","Freshman","Yes","Sixth","Yes","1","3","Yes ","No"
"2017/05/20 7:28:02 PM CDT","Freshman","Yes","Sixth","Yes","2","7","Machines breaking. Not enough machines.",""
"2017/05/21 9:34:33 PM CDT","Freshman","Yes","Revelle","Yes","3","5","Dryer does not dry/is not hot enough. Have to use more than 3 times.","The dryers are my main concern."
"2017/05/21 9:34:34 PM CDT","Freshman","Yes","Revelle","Yes","3","5","Dryer does not dry/is not hot enough. Have to use more than 3 times.","The dryers are my main concern."
"2017/05/21 9:43:42 PM CDT","Sophomore","Yes","Muir","Yes","3","2","Dryers are constantly broken, washers sometimes don't start",""
"2017/05/21 10:26:55 PM CDT","Freshman","Yes","Marshall","Yes","3","2","Clothes getting stained/bleached, dryers not working, not enough machines","The machines are consistently full, and there either needs to be more machines or a system implemented so that more ppl have access to them."
"2017/05/22 2:03:58 AM CDT","Sophomore","Yes","Warren","Yes","4","3","Yes",""
"2017/05/22 2:07:23 AM CDT","Junior","Yes","Revelle","Yes","4","5","No water or no service but not refunded for wash.",""
"2017/05/22 2:21:30 AM CDT","Sophomore","Yes","Sixth","Yes","1","3","No enough machines, machines always somewhat unclean",""
"2017/05/22 3:11:00 PM CDT","Freshman","Yes","Revelle","Yes","7","1","Dryer Doesn't work","fix dryer Argo 5"
"2017/05/22 3:13:37 PM CDT","Sophomore","Yes","Sixth;Warren","Yes","2","4","",""
"2017/05/22 3:15:27 PM CDT","Sophomore","Yes","ERC","Yes","5","2","Yes! On multiple occasions I have gotten an error message on the machine after I loaded my clothes, put in my detergent, and paid. Sometimes my clothes come out still damp after 90 mins of drying.","It's expensive and inconvenient to do laundry on campus "
"2017/05/22 3:15:32 PM CDT","Junior","Yes","ERC","Yes","0","5","Lack of machines, sometimes they don't work. Messy. Mainly not enough machines at peak hour.",""
"2017/05/22 3:16:11 PM CDT","Sophomore","Yes","Warren","Yes","2","7","There was one washing machine that seemed to damage some of my clothes. Didn't have this issue with other washing machines that I used. This was in the Warren reshalls (Stewart 3rd floor) ","Having a separate laundry account for this year was a little odd. I don't really think there's much of a need for it since the people doing laundry in those rooms really are just the residents. "
"2017/05/22 3:20:03 PM CDT","Freshman","Yes","Revelle","Yes","2","8","nah fam","nah. im bored so im doing this survey. hope it helps!"
"2017/05/22 3:20:08 PM CDT","Junior","Yes","The Village","Yes","3","3","The dryer doesn't dry very well",""
"2017/05/22 3:24:03 PM CDT","Senior","Yes","Muir;The Village","Yes","2","7","Dryer wouldn't heat up after I paid for it; had my clothes stolen in the Tamarack Apartments ","More security would be great. I have to babysit my clothes so I won't get my clothes stolen again. "
